,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
484,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1101 sqft,"14,500"," Bachupally, Outer Ring Road "
485,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2800 sqft,"45,000", Near Gachibowli Financil Dist. 
486,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1400 sqft,"16,500"," Moula Ali, Moula Ali Road "
487,3 BHK Apartment,3,Furnished,Bachelors/Family,2200 sqft,"50,000", Gachibwoli (ORR junction) 
488,2 BHK Apartment,1,Furnished,Bachelors/Family,1314 sqft,"36,000"," My Home Avatar, Narsingi, Outer Ring Road "
489,3 BHK Apartment,1,Unfurnished,Bachelors,1490 sqft,"35,000"," Aditya Nagar, Hafeezpet "
490,3 BHK Apartment,3,Semi-Furnished,Family,2200 sqft,"32,000"," SRI SAIRAM Towers, Indra Reddy Alwyn Colony, Miyapur, NH "
491,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1130 sqft,"18,000", Adibatla 
492,3 BHK Apartment,North,Semi-Furnished,Family,1875 sqft,"40,000", Shaikpet 
493,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1275 sqft,"13,000"," Gaghan Pahad, Rajendra Nagar, Outer Ring Road "
494,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1510 sqft,"22,000"," Hafeezpet, NH "
495,3 BHK Apartment,3,Semi-Furnished,Bachelors,1800 sqft,"30,000"," Krishna Nagar, Yousufguda "
496,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,"12,000"," Bachupally, Outer Ring Road "
497,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"12,000", Adibatla 
498,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1100 sqft,"10,000"," Malla Reddy Colony, Secunderabad "
499,3 BHK Apartment,1,Furnished,Bachelors/Family,1198 sqft,"36,000"," Mantri Celestia, Gachibowli, Outer Ring Road "
500,2 BHK Apartment,2,Unfurnished,Bachelors,1500 sqft,"12,000"," Buddha Nagar Colony, Boduppal "
501,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,"25,000", Mehdipatnam 
502,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,"28,000", Mehdipatnam 
503,2 BHK Apartment,1,Unfurnished,Bachelors/Family,600 sqft,"15,000", 
504,3 BHK Apartment,2,Unfurnished,Bachelors,1600 sqft,"15,000", Dr A.S. Rao Nagar 
505,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1300 sqft,"12,000"," Bachupally, Outer Ring Road "
506,3 BHK Builder Floor,3,Furnished,Bachelors/Family,2400 sqft,"30,000", Marredpally 
507,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1660 sqft,"18,000"," Boduppal, NH "
508,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1150 sqft,"14,000", Nizampet 
509,3 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1620 sqft,"15,000"," Fort View, Hydershakote, Bandlaguda, Chevella Road "
510,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,"28,000", Mehdipatnam 
511,3 BHK Apartment,West,Semi-Furnished,Family,1400 sqft,"18,000", Nagole 
512,2 BHK Apartment,1,Furnished,Bachelors/Family,850 sqft,"30,000", Hakimpet-Hyderabad 
513,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1375 sqft,"22,000"," Quadri Happy Homes Paradise, Amberpet "
514,2 BHK Apartment,East,Furnished,Family,1125 sqft,"19,000", Gajularamaram 
515,3 BHK Apartment,1,Semi-Furnished,Bachelors,1675 sqft,"30,000"," Ameerpet, NH "
516,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,"18,000"," Rasoolpura, Mahatma Gandhi Road "
517,3 BHK Apartment,East,Family,2,1550 sqft,"23,000", KPHB Colony 
518,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1834 sqft,"42,000"," Narsingi, Outer Ring Road "
519,3 BHK Apartment,3,Furnished,Bachelors/Family,2000 sqft,"24,000"," Pocharam, NH "
520,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1800 sqft,"14,000"," Boduppal, NH "
521,3 BHK Service Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,"16,000"," Chandanagar, NH "
522,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1400 sqft,"25,000"," Raghavendra Colony, NH "
523,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1400 sqft,"21,500", Puppalaguda 
524,3 BHK Apartment,2,Furnished,Bachelors,1600 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
525,2 BHK Apartment,2,Furnished,Bachelors,1162 sqft,"30,000"," Aliens Fast Track, Madhapur "
526,2 BHK Apartment,3,Unfurnished,Bachelors,1461 sqft,"23,000"," KKRs Fountainhead, Miyapur, NH "
527,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2358 sqft,"35,000"," Pearl Celestial, Kokapet, Outer Ring Road "
528,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,"12,000", military dairy farm rd 
529,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1150 sqft,"15,000"," Skanda Srinivasam, Isnapur, Outer Ring Road "
530,3 BHK Apartment,2,Unfurnished,Bachelors/Family,read more,"19,000"," Madinaguda, Hafeezpet, NH "
531,3 BHK Apartment,West,Furnished,Bachelors/Family,2260 sqft,"50,000"," Green Grace, Gachibowli, Outer Ring Road "
532,2 BHK Apartment,2,Semi-Furnished,Family,1205 sqft,"22,000"," Vazhraa Nirmaan Pushpak, Madhura Nagar-Nizampet "
533,2 BHK Apartment,2,Unfurnished,Bachelors,600 sqft,"16,000", Papulguda 
534,2 BHK Apartment,2,Semi-Furnished,Bachelors,1360 sqft,"18,000", Humayun Nagar 
535,2 BHK Apartment,West,Furnished,Bachelors/Family,1200 sqft,"23,000"," Padmarao Nagar, Hyderabad-Karimnagar Highway "
536,3 BHK Builder Floor,1,Semi-Furnished,Bachelors,1200 sqft,"17,000"," New Bowenpally, NH "
537,3 BHK Apartment,4,Semi-Furnished,Bachelors/Family,1961 sqft,"45,000"," Punjagutta, NH "
538,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1400 sqft,"25,000"," Manikonda, Outer Ring Road "
539,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1300 sqft,"22,000"," Shankara Kranthi Apartment, Kavadiguda, NH "
540,3 BHK Apartment,2,Unfurnished,Bachelors,1450 sqft,"21,000", Shaikpet 
541,3 BHK Apartment,1,Semi-Furnished,Bachelors,1711 sqft,"33,000"," IT Heights, Khaja Guda, Outer Ring Road "
542,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,"25,000"," Himayath Nagar, NH "
543,3 BHK Apartment,1,Semi-Furnished,Bachelors,2540 sqft,"45,000"," Narsingi, Outer Ring Road "
544,3 BHK Apartment,2,Furnished,Bachelors,1400 sqft,"17,500"," Sun City, Bandlaguda, Chevella Road "
545,3 BHK Apartment,2,Unfurnished,Bachelors,1670 sqft,"25,000"," Upparpally, Hyderabad Expressway "
546,2 BHK Apartment,West,Semi-Furnished,Family,1314 sqft,"30,000"," Narsingi, Outer Ring Road "
547,3 BHK Apartment,2,Unfurnished,Bachelors,2150 sqft,"42,000"," The Legend Somajiguda I, Somajiguda, NH "
548,3 BHK Builder Floor,East,Unfurnished,Bachelors/Family,1500 sqft,"35,000", Shivam Rd 
549,2 BHK Apartment,1,Furnished,Bachelors,900 sqft,"26,000", Hakimpet-Hyderabad 
550,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2200 sqft,"30,000"," Miyapur, NH "
551,3 BHK Apartment,2,Semi-Furnished,Bachelors,2540 sqft,"45,000"," NCC Urban One, Narsingi, Outer Ring Road "
552,3 BHK Apartment,North,Unfurnished,Bachelors,1715 sqft,"28,000"," Habsiguda, NH "
553,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"31,000"," My Home Avatar, Narsingi, Outer Ring Road "
554,2 BHK Apartment,1,Semi-Furnished,Bachelors,1314 sqft,"30,000"," My Home Avatar, Narsingi, Outer Ring Road "
555,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1350 sqft,"15,000"," Bandlaguda, Nagole, Srisailam Highway "
556,4 BHK Apartment,From Nov '19,Furnished,Bachelors/Family,2000 sqft,"35,000", KPHB Road 
557,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"22,000", Gopanapalli 
558,3 BHK Builder Floor,From Oct '19,Semi-Furnished,Bachelors/Family,1530 sqft,"25,000"," Kukatpally Housing Board Colony, NH "
559,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,"13,000"," Ramanthapur, NH "
560,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1300 sqft,"15,000", Rahat Nagar-Amberpet 
561,2 BHK Builder Floor,Main Road,Unfurnished,Bachelors/Family,1000 sqft,"14,000"," Radha Krishna Nagar-Attapur, Attapur "
562,3 BHK Apartment,3,Semi-Furnished,Bachelors,2100 sqft,"27,000"," SMR Sartaj Plaza, Bowenpally "
563,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1834 sqft,"34,000"," My Home Avatar, Narsingi, Outer Ring Road "
564,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1665 sqft,"20,000", Puppalaguda 
565,2 BHK Apartment,3,Furnished,Bachelors/Family,1135 sqft,"27,000"," Jaya Nagar, Kukatpally, NH "
566,2 BHK Builder Floor,1,Unfurnished,Bachelors,1000 sqft,"11,000", Gajularamaram 
567,3 BHK Apartment,1,Unfurnished,Bachelors,1350 sqft,"20,000", Attapur 
568,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1400 sqft,"25,000"," Ameerpet, NH "
569,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,"38,000"," Aparna Sarovar, Nalagantla "
570,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,"28,000", Mehdipatnam 
571,2 BHK Apartment,1,Furnished,Family,1210 sqft,"15,000"," Bachupally, Outer Ring Road "
572,2 BHK Apartment,1,Furnished,Family,1500 sqft,"25,000"," Basheer Bagh, NH "
573,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1614 sqft,"16,000", Gajularamaram 
574,3 BHK Apartment,1,Unfurnished,Bachelors,1650 sqft,"30,000"," SMR Empire, West Marredpally "
575,3 BHK Apartment,1,Semi-Furnished,Bachelors,read more,"8,500", Janapriya Lakefront
576,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1416 sqft,"16,000", Nizampet 
577,2 BHK Apartment,2,Furnished,Bachelors,read more,"13,500"," Victory Estates, Jeedimetla, NH "
578,2 BHK Apartment,1,Unfurnished,Bachelors/Family,870 sqft,"12,500"," Vasathi Anandi, Appa junction "
579,2 BHK Apartment,1,Semi-Furnished,Bachelors,1250 sqft,"40,000"," SMR Vinay Technopolis, Madhapur "
580,2 BHK Apartment,2,Unfurnished,Bachelors,1100 sqft,"11,000"," Pocharam, NH "
581,3 BHK Apartment,2,Semi-Furnished,Bachelors,1800 sqft,"18,000", Nizampet 
582,3 BHK Apartment,Immediately,Semi-Furnished,Family,1800 sqft,"24,000"," Narsingi, Outer Ring Road "
583,2 BHK Apartment,2,Semi-Furnished,Bachelors,1150 sqft,"27,000"," Muppas Alankrita, Narsingi, Outer Ring Road "
584,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1080 sqft,"9,000", Gajularamaram 
585,4 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2600 sqft,"21,000", Trimulgherry 
586,3 BHK Apartment,3,Semi-Furnished,Family,1345 sqft,"19,000"," Raheja Vistas, Nacharam "
587,2 BHK Apartment,2,Unfurnished,Bachelors,1400 sqft,"24,000"," Ushodaya Enclave, Hafeezpet "
588,3 BHK Apartment,East,Furnished,Family,1625 sqft,"16,500", Nizampet 
589,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"7,000", Badangpet 
590,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"26,000"," Erragadda, NH "
591,3 BHK Apartment,NaN,Bachelors/Family,3,1625 sqft,"16,500", Bandari Layout 
592,4 BHK Penthouse,2,Furnished,Bachelors/Family,2300 sqft,"50,000"," Domalguda, Himayath Nagar, NH "
593,3 BHK Apartment,2,Unfurnished,Bachelors,1860 sqft,"42,500"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
594,3 BHK Apartment,1,Furnished,Bachelors/Family,1575 sqft,"50,000"," Aditya Empress Towers, Shaikpet "
595,3 BHK Apartment,2,Furnished,Family,1600 sqft,"35,000"," Banjara Hills, NH "
596,3 BHK Apartment,3,Unfurnished,Bachelors,1435 sqft,"20,000", Dr A.S. Rao Nagar 
597,3 BHK Apartment,3,Unfurnished,Bachelors/Family,1275 sqft,"20,000", Boiguda 
598,3 BHK Apartment,2,Semi-Furnished,Family,2090 sqft,"40,000"," L&T Serene County, Telecom Nagar, Gachibowli, Outer Ring Road "
599,3 BHK Apartment,1,Semi-Furnished,Family,2425 sqft,"45,000"," Meenakshi Sky Lounge, Bikshapathi Nagar, Hafeezpet "
600,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1000 sqft,"22,000", Hitech City 
601,2 BHK Apartment,1,Semi-Furnished,Bachelors,1200 sqft,"25,000", Madhapur 
602,3 BHK Apartment,3,Furnished,Bachelors/Family,1550 sqft,"28,000"," DD Colony, Amberpet "
603,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1900 sqft,"35,000"," Aditya Imperial Heights, Hafeezpet, NH "
604,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,850 sqft,"10,000", Attapur 
605,3 BHK Apartment,2,Unfurnished,Family,1400 sqft,"14,000", Attapur 
606,2 BHK Apartment,1,Unfurnished,Bachelors,990 sqft,"12,000", Nizampet 
607,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,East Facing Property,"13,000", Pragathi Nagar
608,2 BHK Apartment,1,Semi-Furnished,Family,1100 sqft,"16,000"," Chandanagar, NH "
609,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,975 sqft,"16,000"," Lingampally-Serilingampally, NH "
610,1 BHK Penthouse,Immediately,Semi-Furnished,Bachelors/Family,read more,"6,500"," Banjara Hills, NH "
611,3 BHK Apartment,3,Semi-Furnished,Bachelors,1900 sqft,"38,000"," Lodha Meridian, Kukatpally Housing Board Colony, NH "
612,3 BHK Apartment,2,Furnished,Bachelors/Family,1500 sqft,"45,000", Masab Tank 
613,1 BHK Apartment,1,Unfurnished,Bachelors,read more,"12,500", Madhapur
614,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1100 sqft,"15,000"," Madinaguda, Hafeezpet, NH "
615,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1750 sqft,"23,000"," Anjani Towers, Ameerpet, NH "
616,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1600 sqft,"25,000", Himayatnagar 
617,3 BHK Apartment,3,Semi-Furnished,Bachelors,2000 sqft,"20,000", Bandlaguda Jagir 
618,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1715 sqft,"21,000", MIGH Colony-Mehdipatnam 
619,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1834 sqft,"38,000"," Narsingi, Outer Ring Road "
620,2 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"16,000"," Manikonda, Outer Ring Road "
621,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1560 sqft,"25,000", New Mallepally 
622,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,read more,"30,000", Madhapur
623,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,"18,000"," Himayath Nagar, NH "
624,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,"36,000"," My Home Vihanga, Gachibowli, Outer Ring Road "
625,2 BHK Apartment,East,Unfurnished,Bachelors,1025 sqft,"15,400", Begumpet 
626,1 BHK Builder Floor,North,Unfurnished,Bachelors/Family,read more,"7,000", New
627,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1800 sqft,"19,000", Panjagutta Colony 
628,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1800 sqft,"22,000", Attapur 
629,3 BHK Apartment,2,Unfurnished,Bachelors,read more,"25,000", Hitex
630,3 BHK Apartment,2,Semi-Furnished,Bachelors,2600 sqft,"40,000"," Banjara Hills, NH "
631,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,NaN,"16,000", Anjaneyanagar Colony
632,2 BHK Apartment,1,Semi-Furnished,Bachelors,NaN,"12,500"," Sanath Nagar, NH "
633,3 BHK Apartment,2,Semi-Furnished,Bachelors,1200 sqft,"12,000", Neredmet 
634,3 BHK Apartment,1,Furnished,Bachelors/Family,1198 sqft,"40,000"," Mantri Celestia, Gachibowli, Outer Ring Road "
635,3 BHK Apartment,3,Semi-Furnished,Family,1602 sqft,"30,000"," MJR Golden Enclave, Madhapur "
636,2 BHK Apartment,1,Unfurnished,Bachelors,1125 sqft,"11,000"," Lakshmi Nagar Colony-Hanuman Nagar Colony, Secunderabad "
637,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"25,000"," Barkatpura, Kachiguda, NH "
638,3 BHK Builder Floor,2,Semi-Furnished,Family,2500 sqft,"48,000"," Jayabheri Orange County, Gachibowli CUC, Outer Ring Road "
639,2 BHK Apartment,1,Semi-Furnished,Bachelors,1000 sqft,"15,000"," Gachibowli, Outer Ring Road "
640,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,read more,"13,000", Alwal
641,2 BHK Apartment,1,Semi-Furnished,Bachelors,read more,"21,000"," Raghavendra Colony, NH "
642,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1685 sqft,"30,000"," My Homes Jewel, Miyapur, NH "
643,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,"28,000"," Yella Reddy Guda, NH "
644,Apartment,NaN,Immediately,NaN,NaN,"8,000"," Yella Reddy Guda, NH "
645,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2100 sqft,"30,000"," Ashok Nagar, Himayath Nagar "
646,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"12,000"," Malakpet, NH "
647,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1850 sqft,"35,000"," Himayath Nagar, NH "
648,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"17,500", Kondapur 
649,3 BHK Apartment,2,Semi-Furnished,Bachelors,2500 sqft,"47,000"," Meenakshis Royal Court, Banjara Hills, NH "
650,2 BHK Apartment,2,Semi-Furnished,Bachelors,1040 sqft,"9,500", 
651,2 BHK Apartment,West,Semi-Furnished,Family,1364 sqft,"28,000"," Jains Carlton Creek, Gachibowli, Outer Ring Road "
652,2 BHK Apartment,2,Furnished,Family,1050 sqft,"17,000"," Manikonda Society, Manikonda, Outer Ring Road "
653,3 BHK Apartment,2,Furnished,Bachelors/Family,1750 sqft,"18,000"," Manikonda, Outer Ring Road "
654,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1050 sqft,"20,000"," Kukatpally Housing Board Colony, NH "
655,2 BHK Builder Floor,2,Unfurnished,Bachelors,1100 sqft,"15,000", Chikkadpally 
656,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,"18,000"," Vasavi Residency, Anand Nagar-Khairatabad, NH "
657,1 BHK Apartment,1,Unfurnished,Bachelors/Family,NaN,"9,000", Whitefields
658,2 BHK Apartment,2,Semi-Furnished,Family,1300 sqft,"12,000", Rahat Nagar-Amberpet 
659,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1300 sqft,"12,000"," Old Alwal, Secunderabad, Siddipet Road "
660,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"11,500"," Chandanagar, NH "
661,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1200 sqft,"15,600"," Kukatpally Housing Board Colony, NH "
662,2 BHK Builder Floor,2,Unfurnished,Bachelors,read more,"9,000", New Maruthi Nagar
663,3 BHK Apartment,1,Unfurnished,Bachelors,1400 sqft,"18,000", Friends Colony 
664,1 BHK Penthouse,1,Unfurnished,Bachelors/Family,read more,"8,300", Vidyanagar
665,2 BHK Apartment,1,Unfurnished,Family,1060 sqft,"7,000", Dr A.S. Rao Nagar 
666,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,"6,500"," Boduppal, NH "
667,2 BHK Apartment,1,Unfurnished,Bachelors,1175 sqft,"18,500"," Manikonda, Outer Ring Road "
668,2 BHK Builder Floor,1,Unfurnished,Bachelors,1800 sqft,"11,000"," Alkapuri, LB Nagar, NH "
669,1 BHK Apartment,2,Unfurnished,Bachelors/Family,read more,"7,000", Vidyanagar
670,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1100 sqft,"18,000"," Kukatpally, NH "
671,2 BHK Builder Floor,North - West,Unfurnished,Bachelors/Family,read more,"11,000", Fair Lands
672,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1200 sqft,"13,000", Suchitra Circle 
673,2 BHK Apartment,2,Unfurnished,Bachelors,read more,"9,500"," Uppal, NH "
674,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"15,000", Jubilee Hills 
675,2 BHK Apartment,NaN,Bachelors/Family,1,600 sqft,"5,500", Nagole 
676,3 BHK Apartment,1,Semi-Furnished,Family,1200 sqft,"22,000", Road # 
677,2 BHK Apartment,2,Semi-Furnished,Bachelors,East Facing Property,"17,000"," Vivekananda Nagar, Kukatpally, NH "
678,3 BHK Apartment,2,Unfurnished,Bachelors,1200 sqft,"13,000"," Bachupally, Outer Ring Road "
679,3 BHK Apartment,East,Semi-Furnished,Family,1525 sqft,"25,000"," Miyapur, NH "
680,2 BHK Apartment,3,Unfurnished,Bachelors/Family,950 sqft,"15,000", Attapur 
681,3 BHK Apartment,2,Furnished,Family,1665 sqft,"35,000", Kondapur 
682,3 BHK Apartment,NaN,Bachelors/Family,3,1575 sqft,"20,000", Kompally 
683,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1300 sqft,"17,000", Gachibowli phase 
684,2 BHK Apartment,NaN,Bachelors/Family,2,1300 sqft,"17,000"," Gachibowli, Outer Ring Road "
685,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1200 sqft,"7,000", Sangareddy 
686,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1050 sqft,"15,000", Masab Tank 
687,2 BHK Apartment,NaN,Bachelors/Family,2,975 sqft,"28,000"," Kattel Mandi, Abids "
688,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1521 sqft,"18,000"," Miyapur, NH "
689,2 BHK Apartment,1,Furnished,Bachelors/Family,1470 sqft,"25,000", Attapur 
690,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1650 sqft,"30,000"," Gopalnagar Society, Hafeezpet "
691,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1360 sqft,"35,000"," Kukatpally, NH "
692,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1138 sqft,"20,000"," Gagan Mahal, Himayath Nagar, NH "
693,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1050 sqft,"16,000"," Sai Nagar-Komapally, NH "
694,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1500 sqft,"15,000"," Surya Nagar Colony, Secunderabad, Medchal Road "
695,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1000 sqft,"7,500", Meerpet 
696,2 BHK Apartment,1,Furnished,Bachelors/Family,1470 sqft,"25,000", Attapur 
697,Studio Apartment,From Nov '19,Furnished,Bachelors/Family,NaN,"20,000", Rajarajeshwari Nagar
698,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1220 sqft,"27,000", Masab Tank 
699,2 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,950 sqft,"16,000", Nizampet 
700,2 BHK Builder Floor,From Nov '19,Furnished,Bachelors/Family,1150 sqft,"33,000", Jagruthi Colony 
701,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,2100 sqft,"50,000"," Gachibowli, Outer Ring Road "
702,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"20,000", Adibatla 
703,1 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,NaN,"9,000", Allwyn
704,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1230 sqft,"35,000"," Gachibowli, Outer Ring Road "
705,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,East Facing Property,"25,000", Financial District
706,3 BHK Builder Floor,2,Unfurnished,Bachelors/Family,1500 sqft,"37,000", Kakatiya Hills madhapur 
707,2 BHK Apartment,2,Unfurnished,Bachelors,910 sqft,"20,500"," Old Nallakunta, New Nallakunta "
708,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,"10,000"," Sun City, Bandlaguda, Chevella Road "
709,2 BHK Apartment,1,Unfurnished,Bachelors/Family,700 sqft,"7,500", Narapally 
710,3 BHK Apartment,2,Unfurnished,Bachelors/Family,East Facing Property,"8,000", Medipally
711,Studio Apartment,1,Furnished,Bachelors/Family,NaN,"6,500", KPHB
712,2 BHK Apartment,2,Unfurnished,Bachelors/Family,950 sqft,"6,000", Boduppal Dwaraka nagar 
713,2 BHK Apartment,North,Semi-Furnished,Bachelors/Family,800 sqft,"7,000", Balapur 
714,2 BHK Apartment,1,Unfurnished,Bachelors/Family,950 sqft,"18,000", Narayanaguda main road 
715,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1800 sqft,"15,000", Fort View Colony 
716,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"18,000", Hyderabad 
717,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1000 sqft,"21,000", Begumpet 
718,2 BHK Apartment,2,Furnished,Bachelors/Family,1519 sqft,"25,000", Suchitra Circle 
719,3 BHK Builder Floor,2,Furnished,Family,1700 sqft,"22,000"," Dilsukh Nagar, NH "
720,3 BHK Apartment,2,Semi-Furnished,Family,1570 sqft,"24,000", Anjaneyanagar Colony moosapet 
721,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"20,000", Gandhi Nagar-Boiguda 
722,2 BHK Apartment,2,Semi-Furnished,Bachelors,1250 sqft,"6,000", Karimnagar 
723,Studio Apartment,West,Furnished,Bachelors/Family,read more,"8,000"," Hafeezpet, NH "
724,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,"20,000", Hyderabad 
725,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"35,000"," Aparna Hill park Silver oaks, Chandanagar, NH "
726,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1440 sqft,"22,000", Mettuguda 
727,3 BHK Apartment,3,Semi-Furnished,Bachelors,1750 sqft,"27,000"," Kaithalapur, Borabanda "
728,2 BHK Apartment,North - East,Semi-Furnished,Bachelors/Family,1000 sqft,"15,000", Toli Chowki 
729,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1700 sqft,"9,000", Hyderabad 
730,3 BHK Apartment,NaN,Bachelors/Family,2,1040 sqft,"15,200", Toli Chowki 
731,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1385 sqft,"12,000", Nagole 
732,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,900 sqft,"9,000", Bandlaguda Jagir 
